batch_number,name,unit_of_measurement,description,category,usage,owner,quantity
6167,ΨΗΦΙΑΚΗ ΤΗΛ.ΣΥΣΚΕΥΗ KX-T7533,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6168,ΨΗΦΙΑΚΗ ΚΟΝΣΟΛΑ DSS KX-T7541,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6249,ΚΑΛΩΔΙΟ CISCO CAB-SS -V35,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6266, GSM ISDN GATEWAY (ΤΕΡΜΑΤ ΚΙΝ ΤΗΛΕΦΩΝΙΑΣ),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6271, DATA SWITCH SPLITTER C620,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6272, VWIC3-1MFT - T1E1-1 -PORT 3RD GEN (ΚΑΡΤΑ ΔΙΚΤΥΟΥ),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6273, VWIC2-2MFTT1 /E1-2PT 2ND (ΚΑΡΤΑ ΔΙΚΤΥΟΥ),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6274, VIWIC2-1MFT-T1/E1 CONTROLLER,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6275, VWIC3 2MFT-TI-EI 2PORT 3RD GEN ΜΕΤ(ΚΑΡΤΑ ΔΙΚΤΥΟ),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6300, ΚΕΝΤΡΟ ΕΛΕΓΧΟΥ CPU-6,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
